text_raw,text_clean,text_id_only,text_normalized,text_final,tokens_final,english_removed_count,english_removed_ratio,stopwords_removed_count
@ysznprd @BuayaEmpang masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,kantong jebol abis milu wkwk,kantong jebol abis milu wkwk,0,0.0,1
"30 org yang meninggal dibilang pemilu maut, di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh!!!  
 Potret Pemilu Maut Renggut 30 Nyawa, Tanzania Lockdown https://t.co/OIO9E4T0Yd",30 org yang meninggal dibilang pemilu maut di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa tanzania lockdown,30 org yang meninggal dibilang pemilu maut di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa,30 orang yang meninggal dibilang pemilu maut di konoha sekitar 700 orang anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa,30 orang tinggal bilang milu maut konoha 700 orang anggota kpps tinggal biasa2 potret milu maut renggut 30 nyawa,30 orang tinggal bilang milu maut konoha 700 orang anggota kpps tinggal biasa2 potret milu maut renggut 30 nyawa,2,0.07692307692307693,5
"""Jgn pilih lg."" pemilu depan pd dikasih 50rb jg pada nyoblos dia lg.",jgn pilih lg pemilu depan pd dikasih 50rb jg pada nyoblos dia lg,jgn pilih lg pemilu depan pd dikasih 50rb jg pada nyoblos dia lg,jangan pilih lagi pemilu depan pada dikasih 50rb jg pada nyoblos dia lagi,pilih milu kasih 50rb jg nyoblos,pilih milu kasih 50rb jg nyoblos,0,0.0,7
@ARSIPAJA Emang 2029 ada pemilu?,emang 2029 ada pemilu,emang 2029 ada pemilu,memang 2029 ada pemilu,2029 milu,2029 milu,0,0.0,2
"""Udah lah sekarang udah bukan pemilu lagi gak usah dibawa-bawa lagi.""

Nah, fuck y'all, I don't even care if you are a friend or family, y'all who voted for him can go rot in hell!",udah lah sekarang udah bukan pemilu lagi gak usah dibawa-bawa lagi nah fuck y all i don t even care if you are a friend or family y all who voted for him can go rot in hell,udah lah sekarang udah bukan pemilu lagi gak usah dibawa-bawa lagi y t y in,sudah lah sekarang sudah bukan pemilu lagi tidak usah dibawa-bawa lagi ya t ya in,milu bawa ya ya in,milu bawa ya ya in,23,0.6052631578947368,10
@Renei gaada lah vote vote itu noona ini bukan pemilu.,gaada lah vote vote itu noona ini bukan pemilu,gaada lah itu noona ini bukan pemilu,tidak ada lah itu noona ini bukan pemilu,noona milu,noona milu,2,0.2222222222222222,6
"@Boediantar4 Kalau hasil pemilu dilakukan terbuka dgn melibatkan ahli2 independen mgkn akan terbuka jg boroknya, tp sayang ditutupi oleh manusia2 curang yg rakus",kalau hasil pemilu dilakukan terbuka dgn melibatkan ahli2 independen mgkn akan terbuka jg boroknya tp sayang ditutupi oleh manusia2 curang yg rakus,kalau hasil pemilu dilakukan terbuka dgn melibatkan ahli2 independen mgkn akan terbuka jg boroknya tp sayang ditutupi oleh manusia2 curang yg rakus,kalau hasil pemilu dilakukan terbuka dengan melibatkan ahli2 independen mgkn akan terbuka jg boroknya tapi sayang ditutupi oleh manusia2 curang yang rakus,hasil milu buka libat ahli2 independen mgkn buka jg borok sayang tutup manusia2 curang rakus,hasil milu buka libat ahli2 independen mgkn buka jg borok sayang tutup manusia2 curang rakus,0,0.0,7
"@Takehirohayaku @acihalim @igotmypoint Di Malaysia, etnis Cina mempertahankan bahasa dan budaya lebih kuat karena kurangnya asimilasi paksa seperti di Indonesia, menciptakan masyarakat paralel yang memicu ketegangan dengan bumiputera. Kerusuhan 13 Mei 1969 meletus pasca-pemilu, dengan bentrokan Melayu-Cina menewaskan sekitar 196 orang (mayoritas Cina), akibat persepsi ketidakadilan ekonomi. Ini beda dengan Indonesia, di mana kebijakan Orde Baru memaksa kesatuan linguistik-kultural, meski mengorbankan identitas minoritas untuk stabilitas nasional.",di malaysia etnis cina mempertahankan bahasa dan budaya lebih kuat karena kurangnya asimilasi paksa seperti di indonesia menciptakan masyarakat paralel yang memicu ketegangan dengan bumiputera kerusuhan 13 mei 1969 meletus pasca-pemilu dengan bentrokan melayu-cina menewaskan sekitar 196 orang mayoritas cina akibat persepsi ketidakadilan ekonomi ini beda dengan indonesia di mana kebijakan orde baru memaksa kesatuan linguistik-kultural meski mengorbankan identitas minoritas untuk stabilitas nasional,di malaysia etnis cina mempertahankan bahasa dan budaya lebih kuat karena kurangnya asimilasi paksa seperti di indonesia menciptakan masyarakat paralel yang memicu ketegangan dengan bumiputera kerusuhan 13 mei 1969 meletus pasca-pemilu dengan bentrokan melayu-cina menewaskan sekitar 196 orang mayoritas cina akibat persepsi ketidakadilan ekonomi ini beda dengan indonesia di mana kebijakan orde baru memaksa kesatuan linguistik-kultural meski mengorbankan identitas minoritas untuk stabilitas nasional,di malaysia etnis cina mempertahankan bahasa dan budaya lebih kuat karena kurangnya asimilasi paksa seperti di indonesia menciptakan masyarakat paralel yang memicu ketegangan dengan bumiputera kerusuhan 13 mei 1969 meletus pasca-pemilu dengan bentrokan melayu-cina menewaskan sekitar 196 orang mayoritas cina akibat persepsi ketidakadilan ekonomi ini beda dengan indonesia di mana kebijakan orde baru memaksa kesatuan linguistik-kultural meski mengorbankan identitas minoritas untuk stabilitas nasional,malaysia etnis cina tahan bahasa budaya kuat kurang asimilasi paksa indonesia cipta masyarakat paralel picu tegang bumiputera rusuh 13 mei 1969 letus pasca-pemilu bentrok melayu-cina tewas 196 orang mayoritas cina akibat persepsi ketidakadilan ekonomi beda indonesia bijak orde paksa satu linguistik-kultural korban identitas minoritas stabilitas nasional,malaysia etnis cina tahan bahasa budaya kuat kurang asimilasi paksa indonesia cipta masyarakat paralel picu tegang bumiputera rusuh 13 mei 1969 letus pasca-pemilu bentrok melayu-cina tewas 196 orang mayoritas cina akibat persepsi ketidakadilan ekonomi beda indonesia bijak orde paksa satu linguistik-kultural korban identitas minoritas stabilitas nasional,0,0.0,17
"Dari rakyat (Pemilu)
Oleh rakyat (diem aje)
Untuk rakyat (UU KUHAP) 👍🥀",dari rakyat pemilu oleh rakyat diem aje untuk rakyat uu kuhap,dari rakyat pemilu oleh rakyat diem aje untuk rakyat uu kuhap,dari rakyat pemilu oleh rakyat diem aje untuk rakyat uu kuhap,rakyat milu rakyat diem aje rakyat uu hap,rakyat milu rakyat diem aje rakyat uu hap,0,0.0,3
"~Turut hadir Inspektur Wilayah II KPU RI Bakhtiar yang menyampaikan terkait Tugas dan Tanggungjawab Sekretariat dalam membantu Komisioner menjalankan tugas sebagai Penyelenggara Pemilu. Melalui Rapat Koordinasi, turut dibahas terkait Evaluasi Pola Rekrutmen https://t.co/D6UnTQAspU",turut hadir inspektur wilayah ii kpu ri bakhtiar yang menyampaikan terkait tugas dan tanggungjawab sekretariat dalam membantu komisioner menjalankan tugas sebagai penyelenggara pemilu melalui rapat koordinasi turut dibahas terkait evaluasi pola rekrutmen,turut hadir inspektur wilayah ii kpu ri bakhtiar yang menyampaikan terkait tugas dan tanggungjawab sekretariat dalam membantu komisioner menjalankan tugas sebagai penyelenggara pemilu melalui rapat koordinasi turut dibahas terkait evaluasi pola rekrutmen,turut hadir inspektur wilayah ii kpu ri bakhtiar yang menyampaikan terkait tugas dan tanggungjawab sekretariat dalam membantu komisioner menjalankan tugas sebagai penyelenggara pemilu melalui rapat koordinasi turut dibahas terkait evaluasi pola rekrutmen,hadir inspektur wilayah ii kpu ri bakhtiar kait tugas tanggungjawab sekretariat bantu komisioner jalan tugas selenggara milu rapat koordinasi bahas kait evaluasi pola rekrutmen,hadir inspektur wilayah ii kpu ri bakhtiar kait tugas tanggungjawab sekretariat bantu komisioner jalan tugas selenggara milu rapat koordinasi bahas kait evaluasi pola rekrutmen,0,0.0,8
"~""Sebagai Penyelenggara Pemilu, Pimpinan KPU harus mempunyai 10 Kompetensi Penyelenggara, yaitu Kemampuan Komunikasi, Manajemen, Analisis, Negosiasi, Kepemimpinan, Adaptasi, Integritas, Teknologi, Manajemen Risiko, dan Evaluasi."" jelasnya. https://t.co/kcLb3rXFNe",sebagai penyelenggara pemilu pimpinan kpu harus mempunyai 10 kompetensi penyelenggara yaitu kemampuan komunikasi manajemen analisis negosiasi kepemimpinan adaptasi integritas teknologi manajemen risiko dan evaluasi jelasnya,sebagai penyelenggara pemilu pimpinan kpu harus mempunyai 10 kompetensi penyelenggara yaitu kemampuan komunikasi manajemen analisis negosiasi kepemimpinan adaptasi integritas teknologi manajemen risiko dan evaluasi jelasnya,sebagai penyelenggara pemilu pimpinan kpu harus mempunyai 10 kompetensi penyelenggara yaitu kemampuan komunikasi manajemen analisis negosiasi kepemimpinan adaptasi integritas teknologi manajemen risiko dan evaluasi jelasnya,selenggara milu pimpin kpu kompetensi selenggara mampu komunikasi manajemen analisis negosiasi pimpin adaptasi integritas teknologi manajemen risiko evaluasi,selenggara milu pimpin kpu kompetensi selenggara mampu komunikasi manajemen analisis negosiasi pimpin adaptasi integritas teknologi manajemen risiko evaluasi,0,0.0,7
"~Dalam Rapat Koordinasi tersebut, Ketua KPU Kabupaten Kubu Raya Kasiono hadir sebagai Narasumber dengan menyampaikan materi terkait Keterampilan Kepemimpinan untuk Penyelenggara Pemilu yang Berkarakter dan Berintegritas. https://t.co/sS5fquQ1VI",dalam rapat koordinasi tersebut ketua kpu kabupaten kubu raya kasiono hadir sebagai narasumber dengan menyampaikan materi terkait keterampilan kepemimpinan untuk penyelenggara pemilu yang berkarakter dan berintegritas,dalam rapat koordinasi tersebut ketua kpu kabupaten kubu raya kasiono hadir sebagai narasumber dengan menyampaikan materi terkait keterampilan kepemimpinan untuk penyelenggara pemilu yang berkarakter dan berintegritas,dalam rapat koordinasi tersebut ketua kpu kabupaten kubu raya kasiono hadir sebagai narasumber dengan menyampaikan materi terkait keterampilan kepemimpinan untuk penyelenggara pemilu yang berkarakter dan berintegritas,rapat koordinasi ketua kpu kabupaten kubu raya kasiono hadir narasumber materi kait terampil pimpin selenggara milu karakter integritas,rapat koordinasi ketua kpu kabupaten kubu raya kasiono hadir narasumber materi kait terampil pimpin selenggara milu karakter integritas,0,0.0,8
@Metro_TV kalau gitu...pemilu ulang lah,kalau gitu pemilu ulang lah,kalau gitu pemilu ulang lah,kalau begitu pemilu ulang lah,milu ulang,milu ulang,0,0.0,3
"@ARSIPAJA Klo menang lagi gw gak habis pikir. Kerjanya netijen tiap hari klo ada kasus seleb dan sejenisnya selalu ngoceh DARI KEJADIAN si A si B si C KITA BELAJAR blablabla. Tapi giliran PILPRES, PEMILU, pada gak pernah belajar. Heran gue",klo menang lagi gw gak habis pikir kerjanya netijen tiap hari klo ada kasus seleb dan sejenisnya selalu ngoceh dari kejadian si a si b si c kita belajar blablabla tapi giliran pilpres pemilu pada gak pernah belajar heran gue,klo menang lagi gw gak habis pikir kerjanya netijen tiap hari klo ada kasus seleb dan sejenisnya selalu ngoceh dari kejadian si si b si c kita belajar blablabla tapi giliran pilpres pemilu pada gak pernah belajar heran gue,kalau menang lagi saya tidak habis pikir kerjanya netijen tiap hari kalau ada kasus seleb dan sejenisnya selalu ngoceh dari kejadian sih sih b sih c kita belajar blablabla tapi giliran pilpres pemilu pada tidak pernah belajar heran saya,menang habis pikir kerja netijen seleb jenis ngoceh jadi ajar blablabla gilir pilpres milu ajar heran,menang habis pikir kerja netijen seleb jenis ngoceh jadi ajar blablabla gilir pilpres milu ajar heran,1,0.025,23
"@Gojekmilitan Bener sih. Kalau mau ikut pemilu PT 10% pun harus siap. Soal dapatnya 2%, berarti target tercapai",bener sih kalau mau ikut pemilu pt 10 pun harus siap soal dapatnya 2 berarti target tercapai,bener sih kalau mau ikut pemilu pt 10 pun harus siap soal dapatnya 2 berarti target tercapai,benar sih kalau ingin ikut pemilu pt 10 pun harus siap soal dapatnya 2 berarti target tercapai,milu pt dapat target capai,milu pt dapat target capai,0,0.0,12
"@ottoskya @AmirahWahdi ""Pemilu 5 tahun sekali tapi sakit hatinya tiap hari""

Ya emang, karena siapapun yang berkuasa mempengaruhi kita kita yang harus bertunduk pada rezim tersebut, gitu aja kagak paham?",pemilu 5 tahun sekali tapi sakit hatinya tiap hari ya emang karena siapapun yang berkuasa mempengaruhi kita kita yang harus bertunduk pada rezim tersebut gitu aja kagak paham,pemilu 5 tahun sekali tapi sakit hatinya tiap hari emang karena siapapun yang berkuasa mempengaruhi kita kita yang harus bertunduk pada rezim tersebut gitu aja kagak paham,pemilu 5 tahun sekali tapi sakit hatinya tiap hari memang karena siapapun yang berkuasa mempengaruhi kita kita yang harus bertunduk pada rezim tersebut begitu saja kagak paham,milu sakit hati kuasa pengaruh tunduk rezim kagak paham,milu sakit hati kuasa pengaruh tunduk rezim kagak paham,1,0.03571428571428571,18
"Kegiatan ini bertujuan untuk memperkuat sinergi antar lembaga penyelenggara pemilu dalam memastikan data partai politik tersusun dengan baik, mutakhir, dan sesuai kebutuhan proses kepemiluan. https://t.co/aR7lTcyaIj",kegiatan ini bertujuan untuk memperkuat sinergi antar lembaga penyelenggara pemilu dalam memastikan data partai politik tersusun dengan baik mutakhir dan sesuai kebutuhan proses kepemiluan,kegiatan ini bertujuan untuk memperkuat sinergi antar lembaga penyelenggara pemilu dalam memastikan data partai politik tersusun dengan baik mutakhir dan sesuai kebutuhan proses kepemiluan,kegiatan ini bertujuan untuk memperkuat sinergi antar lembaga penyelenggara pemilu dalam memastikan data partai politik tersusun dengan baik mutakhir dan sesuai kebutuhan proses kepemiluan,giat tuju kuat sinergi lembaga selenggara milu data partai politik susun mutakhir sesuai butuh proses milu,giat tuju kuat sinergi lembaga selenggara milu data partai politik susun mutakhir sesuai butuh proses milu,0,0.0,8
@askDika anggota dpr yg kayak gini tulung di list trus menjelang pemilu dipublikasikan (nama berikut kelakuan negatifnya) biar rakyat ndak ketipu brosur.,anggota dpr yg kayak gini tulung di list trus menjelang pemilu dipublikasikan nama berikut kelakuan negatifnya biar rakyat ndak ketipu brosur,anggota dpr yg kayak gini tulung di list trus menjelang pemilu dipublikasikan nama berikut kelakuan negatifnya biar rakyat ndak ketipu brosur,anggota dpr yang seperti begini tulung di list terus menjelang pemilu dipublikasikan nama berikut kelakuan negatifnya biar rakyat ndak ketipu brosur,anggota dpr tulung list jelang milu publikasi nama laku negatif biar rakyat ndak tipu brosur,anggota dpr tulung list jelang milu publikasi nama laku negatif biar rakyat ndak tipu brosur,0,0.0,6
"@budi_dhrc @riskaayurinjani @Dennysiregar7 Yg gak sabar itu kubu-kebo, mrk ikut2an kubu onta mainin isu ijazah palsu, hanya gara2 JKW undur diri dari parte mrk.
Pdhal slama beliau ikut pemilu statusnya kan sbg kader banteng.
Pastinya tau donk ijazahnya asli atau palsu, xixixi!
😜🤭😝",yg gak sabar itu kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu hanya gara2 jkw undur diri dari parte mrk pdhal slama beliau ikut pemilu statusnya kan sbg kader banteng pastinya tau donk ijazahnya asli atau palsu xixixi,yg gak sabar itu kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu hanya gara2 jkw undur diri dari parte mrk pdhal slama beliau ikut pemilu statusnya kan sbg kader banteng pastinya tau donk ijazahnya asli atau palsu xixixi,yang tidak sabar itu kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu hanya gara2 jkw undur diri dari parte mrk pdhal slama beliau ikut pemilu statusnya kan sebagai kader banteng pastinya tahu dong ijazahnya asli atau palsu xixixi,sabar kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu gara2 jkw undur parte mrk pdhal slama beliau milu status kader banteng pasti ijazah asli palsu xixixi,sabar kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu gara2 jkw undur parte mrk pdhal slama beliau milu status kader banteng pasti ijazah asli palsu xixixi,0,0.0,12
"@nct_menfess Kenapa sih rakyat taunya pas udh ketok palu aja??? Diem2 ngesahin undang2 
Konyol bgt negara ini, sama rakyat sendiri aja takut tapi tetep minta suara rakyat kalo lg pemilu 
#TolakRKUHAP  
#SemuaBisaKena",kenapa sih rakyat taunya pas udh ketok palu aja diem2 ngesahin undang2 konyol bgt negara ini sama rakyat sendiri aja takut tapi tetep minta suara rakyat kalo lg pemilu,kenapa sih rakyat taunya pas udh ketok palu aja diem2 ngesahin undang2 konyol bgt negara ini sama rakyat sendiri aja takut tapi tetep minta suara rakyat kalo lg pemilu,mengapa sih rakyat taunya pas sudah ketok palu saja diem2 ngesahin undang2 konyol sangat negara ini sama rakyat sendiri saja takut tapi tetep minta suara rakyat kalau lagi pemilu,rakyat tau pas ketok palu diem2 ngesahin undang2 konyol negara rakyat takut tetep suara rakyat milu,rakyat tau pas ketok palu diem2 ngesahin undang2 konyol negara rakyat takut tetep suara rakyat milu,0,0.0,13
@ysznprd @BuayaEmpang masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,kantong jebol abis milu wkwk,kantong jebol abis milu wkwk,0,0.0,1
"30 org yang meninggal dibilang pemilu maut, di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh!!!  
 Potret Pemilu Maut Renggut 30 Nyawa, Tanzania Lockdown https://t.co/OIO9E4T0Yd",30 org yang meninggal dibilang pemilu maut di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa tanzania lockdown,30 org yang meninggal dibilang pemilu maut di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa,30 orang yang meninggal dibilang pemilu maut di konoha sekitar 700 orang anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa,30 orang tinggal bilang milu maut konoha 700 orang anggota kpps tinggal biasa2 potret milu maut renggut 30 nyawa,30 orang tinggal bilang milu maut konoha 700 orang anggota kpps tinggal biasa2 potret milu maut renggut 30 nyawa,2,0.07692307692307693,5
